"taxonKey	scientificName	acceptedTaxonKey	acceptedScientificName	numberOfOccurrences	taxonRank	taxonomicStatus	kingdom	kingdomKey	phylum	phylumKey	class	classKey	order	orderKey	family	familyKey	genus	genusKey	species	speciesKey	iucnRedListCategory",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"5219573	Cercopithecus nictitans (Linnaeus"," 1766)	5219573	Cercopithecus nictitans (Linnaeus"," 1766)	293	SPECIES	ACCEPTED	Animalia	1	Chordata	44	Mammalia	359	Primates	798	Cercopithecidae	9622	Cercopithecus	2436567	Cercopithecus nictitans	5219573	NT",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"8844343	Erythrocebus patas pyrrhonotus (Hemprich & Ehrenberg"," 1829)	8844343	Erythrocebus patas pyrrhonotus (Hemprich & Ehrenberg"," 1829)	187	SUBSPECIES	ACCEPTED	Animalia	1	Chordata	44	Mammalia	359	Primates	798	Cercopithecidae	9622	Erythrocebus	2436547	Erythrocebus patas	2436548	",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"8733021	Semnopithecus vetulus vetulus (Erxleben"," 1777)	8733021	Semnopithecus vetulus vetulus (Erxleben"," 1777)	22	SUBSPECIES	ACCEPTED	Animalia	1	Chordata	44	Mammalia	359	Primates	798	Cercopithecidae	9622	Semnopithecus	2436563	Semnopithecus vetulus	7460229	",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"5707429	Propithecus edwardsi Grandidier"," 1871	5707429	Propithecus edwardsi Grandidier"," 1871	287	SPECIES	ACCEPTED	Animalia	1	Chordata	44	Mammalia	359	Primates	798	Indriidae	4827490	Propithecus	2436427	Propithecus edwardsi	5707429	EN",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"9291744	Plecturocebus oenanthe (Thomas"," 1924)	9291744	Plecturocebus oenanthe (Thomas"," 1924)	55	SPECIES	ACCEPTED	Animalia	1	Chordata	44	Mammalia	359	Primates	798	Pitheciidae	5486	Plecturocebus	8755067	Plecturocebus oenanthe	9291744	CR",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"7262016	Colobus guereza guereza Rüppell"," 1835	7262016	Colobus guereza guereza Rüppell"," 1835	51	SUBSPECIES	ACCEPTED	Animalia	1	Chordata	44	Mammalia	359	Primates	798	Cercopithecidae	9622	Colobus	5963043	Colobus guereza	5963045	",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"6075607	Colobus angolensis ruwenzorii Thomas"," 1901	6075607	Colobus angolensis ruwenzorii Thomas"," 1901	44	SUBSPECIES	ACCEPTED	Animalia	1	Chordata	44	Mammalia	359	Primates	798	Cercopithecidae	9622	Colobus	5963043	Colobus angolensis	5963047	",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"5936349	Platychoerops daubrei (Lemoine"," 1880)	8923282	Plesiadapis daubrei (Lemoine"," 1880)	5	SPECIES	SYNONYM	Animalia	1	Chordata	44	Mammalia	359	Primates	798	Plesiadapidae	3239538	Platychoerops	3239540	Plesiadapis daubrei	8923282	",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"4974641	Saharagalago misrensis Seiffert et al."," 2003	4974641	Saharagalago misrensis Seiffert et al."," 2003	2	SPECIES	ACCEPTED	Animalia	1	Chordata	44	Mammalia	359	Primates	798	Galagidae	3239554	Saharagalago	4827717	Saharagalago misrensis	4974641	",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"4974819	Loveina wapitiensis Gunnell et al."," 1992	4974819	Loveina wapitiensis Gunnell et al."," 1992	3	SPECIES	ACCEPTED	Animalia	1	Chordata	44	Mammalia	359	Primates	798	Omomyidae	4827112	Loveina	4827143	Loveina wapitiensis	4974819	",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
