"taxonKey	scientificName	acceptedTaxonKey	acceptedScientificName	numberOfOccurrences	taxonRank	taxonomicStatus	kingdom	kingdomKey	phylum	phylumKey	class	classKey	order	orderKey	family	familyKey	genus	genusKey	species	speciesKey	iucnRedListCategory",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"4266997	Piliocolobus foai oustaleti (Trouessart"," 1906)	7689613	Piliocolobus oustaleti (Trouessart"," 1906)	5	SUBSPECIES	SYNONYM	Animalia	1	Chordata	44	Mammalia	359	Primates	798	Cercopithecidae	9622	Piliocolobus	4266981	Piliocolobus oustaleti	7689613	",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"4827576	Homo wadjakensis Dubois"," 1921	2436436	Homo sapiens Linnaeus"," 1758	8	SPECIES	SYNONYM	Animalia	1	Chordata	44	Mammalia	359	Primates	798	Hominidae	5483	Homo	2436435	Homo sapiens	2436436	",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"8203417	Colobus powelli Matschie"," 1913	7689613	Piliocolobus oustaleti (Trouessart"," 1906)	1	SPECIES	SYNONYM	Animalia	1	Chordata	44	Mammalia	359	Primates	798	Cercopithecidae	9622	Piliocolobus	4266981	Piliocolobus oustaleti	7689613	",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"4974583	Cercamonius brachyrhynchus (Stehlin"," 1912)	8822136	Protadapis brachyrhynchus (Stehlin"," 1912)	1	SPECIES	SYNONYM	Animalia	1	Chordata	44	Mammalia	359	Primates	798	Adapidae	3239541	Cercamonius	4827745	Protadapis brachyrhynchus	8822136	",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"4974765	Bugtipithecus inexpectans Marivaux et al."," 2005	4974765	Bugtipithecus inexpectans Marivaux et al."," 2005	1	SPECIES	ACCEPTED	Animalia	1	Chordata	44	Mammalia	359	Primates	798	Amphipithecidae	4827506	Bugtipithecus	4974764	Bugtipithecus inexpectans	4974765	",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"3239609	Stirtonia Hershkovitz"," 1970	3239609	Stirtonia Hershkovitz"," 1970	1	GENUS	ACCEPTED	Animalia	1	Chordata	44	Mammalia	359	Primates	798	Atelidae	3239607	Stirtonia	3239609			",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"8530926	Karanisia arenula Jaeger et al."," 2010	8530926	Karanisia arenula Jaeger et al."," 2010	1	SPECIES	ACCEPTED	Animalia	1	Chordata	44	Mammalia	359	Primates	798			Karanisia	4827338	Karanisia arenula	8530926	",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"8534198	Nievesia sossisensis Marigó et al."," 2013	8534198	Nievesia sossisensis Marigó et al."," 2013	1	SPECIES	ACCEPTED	Animalia	1	Chordata	44	Mammalia	359	Primates	798	Adapidae	3239541	Nievesia	8666784	Nievesia sossisensis	8534198	",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"5707387	Cercopithecus albogularis labiatus I.Geoffroy Saint-Hilaire"," 1842	5786279	Cercopithecus mitis labiatus I.Geoffroy Saint-Hilaire"," 1842	4	SUBSPECIES	SYNONYM	Animalia	1	Chordata	44	Mammalia	359	Primates	798	Cercopithecidae	9622	Cercopithecus	2436567	Cercopithecus mitis	5219578	",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"4974756	Biretia fayumensis Seiffert et al."," 2005	4974756	Biretia fayumensis Seiffert et al."," 2005	1	SPECIES	ACCEPTED	Animalia	1	Chordata	44	Mammalia	359	Primates	798	Parapithecidae	3239597	Biretia	4827159	Biretia fayumensis	4974756	",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"5707294	Callithrix manicorensis M.van Roosmalen", T.van Roosmalen, Mittermeier & Rylands," 2000	5786466	Mico marcai (Alperin"," 1993)	1	SPECIES	SYNONYM	Animalia	1	Chordata	44	Mammalia	359	Primates	798	Callitrichidae	9620	Mico	7826251	Mico marcai	5786466	",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"10269046	BOLD:ADR3557	10269046	BOLD:ADR3557	2	UNRANKED	ACCEPTED	Animalia	1	Chordata	44	Mammalia	359	Primates	798	Cheirogaleidae	9419	Phaner	2436442	Phaner parienti	4266966	",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"10420279	BOLD:ADD0302	10420279	BOLD:ADD0302	4	UNRANKED	ACCEPTED	Animalia	1	Chordata	44	Mammalia	359	Primates	798	Cheirogaleidae	9419	Microcebus	2436446	Microcebus murinus	2436447	",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"10838087	BOLD:ADV9678	10838087	BOLD:ADV9678	1	UNRANKED	ACCEPTED	Animalia	1	Chordata	44	Mammalia	359	Primates	798	Cheirogaleidae	9419	Cheirogaleus	2436450	Cheirogaleus crossleyi	4266968	",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
